date,temp_avg,temp_max,temp_min,Precipitation,rain_flag,mist_flag,haze_flag
2017-05-07,57.5,65,50,0.00,0,0,1
2017-05-08,57.5,65,50,0.00,0,0,0
2017-05-09,59.0,67,51,0.00,0,0,0
2017-05-10,56.0,60,52,0.00,0,0,0
2017-05-11,57.0,63,51,0.00,0,0,0
2017-05-12,55.5,60,51,0.00,0,0,0
2017-05-13,54.5,60,49,0.00,0,0,0
2017-05-14,54.5,61,48,0.00,0,0,0
2017-05-15,55.0,61,49,0.00,0,0,0
2017-05-16,54.0,59,49,0.00,1,0,0
2017-05-17,57.0,64,50,0.00,0,0,0
2017-05-18,60.5,71,50,0.00,0,0,0
2017-05-19,64.0,75,53,0.00,0,0,0
2017-05-20,64.0,77,51,0.00,0,0,0
2017-05-21,60.5,69,52,0.00,0,0,0
2017-05-22,57.0,63,51,0.00,0,0,0
2017-05-23,57.0,62,52,0.00,0,0,0
2017-05-24,56.0,61,51,0.00,0,0,0
2017-05-25,57.5,62,53,0.00,0,0,0
2017-05-26,58.0,62,54,0.00,0,0,0
2017-05-27,57.5,62,53,0.00,0,0,0
2017-05-28,56.5,61,52,0.00,0,0,0
2017-05-29,54.5,58,51,0.00,0,0,0
2017-05-30,54.5,58,51,0.00,0,0,0
2017-05-31,58.0,64,52,0.00,0,0,0
